"UF";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Situação";"Votação";"% Válidos";
"BR";"Presidente";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"54.483.045";"51,65"
"";"";"";"";"";"";"";"54.483.045";""
"";"";"";"";"";"";"";"54.483.045";""
"";"";"";"";"";"";"";"54.483.045";""
"AC";"Governador";"13";"SEBASTIÃO AFONSO VIANA MACEDO NEVES";"PT";"PDT / PRB / PT / PSL / PTN / PSDC / PHS / PSB / PRP / PEN / PPL / PC do B / PROS / PTB";"Eleito";"196.509";"51,29"
"";"";"";"";"";"";"";"196.509";""
"";"";"";"";"";"";"";"196.509";""
"AM";"Governador";"90";"JOSÉ MELO DE OLIVEIRA";"PROS";"PROS / DEM / PSL / PTN / PSC / PR / PRTB / PHS / PTC / PV / PRP / PSDB / PEN / PSD / SD / PT do B";"Eleito";"869.992";"55,54"
"";"";"";"";"";"";"";"869.992";""
"";"";"";"";"";"";"";"869.992";""
"AP";"Governador";"12";"ANTÔNIO WALDEZ GÓES DA SILVA";"PDT";"PP / PDT / PMDB";"Eleito";"220.256";"60,58"
"";"";"";"";"";"";"";"220.256";""
"";"";"";"";"";"";"";"220.256";""
"CE";"Governador";"13";"CAMILO SOBREIRA DE SANTANA";"PT";"PRB / PP / PDT / PT / PTB / PSL / PRTB / PHS / PMN / PTC / PV / PEN / PPL / PSD / PC do B / PT do B / SD / PROS";"Eleito";"2.417.668";"53,35"
"";"";"";"";"";"";"";"2.417.668";""
"";"";"";"";"";"";"";"2.417.668";""
"DF";"Governador";"40";"RODRIGO SOBRAL ROLLEMBERG";"PSB";"PSB / SD / PDT / PSD";"Eleito";"812.036";"55,56"
"";"";"";"";"";"";"";"812.036";""
"";"";"";"";"";"";"";"812.036";""
"GO";"Governador";"45";"MARCONI FERREIRA PERILLO JUNIOR";"PSDB";"PRB / PP / PDT / PTB / PSL / PR / PPS / PHS / PMN / PTC / PV / PSDB / PEN / PSD / PT do B / PROS";"Eleito";"1.750.977";"57,44"
"";"";"";"";"";"";"";"1.750.977";""
"";"";"";"";"";"";"";"1.750.977";""
"MS";"Governador";"45";"REINALDO AZAMBUJA SILVA";"PSDB";"PSDB / DEM / PSD / SD / PPS / PMN";"Eleito";"741.516";"55,34"
"";"";"";"";"";"";"";"741.516";""
"";"";"";"";"";"";"";"741.516";""
"PA";"Governador";"45";"SIMÃO ROBISON OLIVEIRA JATENE";"PSDB";"PSDB / PSD / PSB / PP / SD / PRB / PSC / PTB / PPS / PEN / PMN / PTC / PSDC / PT do B / PRP";"Eleito";"1.858.869";"51,92"
"";"";"";"";"";"";"";"1.858.869";""
"";"";"";"";"";"";"";"1.858.869";""
"PB";"Governador";"40";"RICARDO VIEIRA COUTINHO";"PSB";"PSB / PT / PDT / DEM / PRTB / PRP / PV / PSL / PC do B / PHS / PPL";"Eleito";"1.125.956";"52,61"
"";"";"";"";"";"";"";"1.125.956";""
"";"";"";"";"";"";"";"1.125.956";""
"RJ";"Governador";"15";"LUIZ FERNANDO DE SOUZA";"PMDB";"PMDB / PP / PSC / PTB / PSL / PPS / PTN / DEM / PSDC / PRTB / PHS / PMN / PTC / PRP / PSDB / PEN / PSD / SD";"Eleito";"4.343.298";"55,78"
"";"";"";"";"";"";"";"4.343.298";""
"";"";"";"";"";"";"";"4.343.298";""
"RN";"Governador";"55";"ROBINSON MESQUITA DE FARIA";"PSD";"PSD / PT / PC do B / PT do B / PP / PEN / PRTB / PTC";"Eleito";"877.268";"54,42"
"";"";"";"";"";"";"";"877.268";""
"";"";"";"";"";"";"";"877.268";""
"RO";"Governador";"15";"CONFUCIO AIRES MOURA";"PMDB";"PMDB / PDT / PSB / PTN / PTB / PC do B / PRTB / PSL / PRP";"Eleito";"419.928";"53,43"
"";"";"";"";"";"";"";"419.928";""
"";"";"";"";"";"";"";"419.928";""
"RR";"Governador";"11";"MARIA SUELY SILVA CAMPOS";"PP";"PP / PTB / DEM";"Eleito";"127.161";"54,85"
"";"";"";"";"";"";"";"127.161";""
"";"";"";"";"";"";"";"127.161";""
"RS";"Governador";"15";"JOSÉ IVO SARTORI";"PMDB";"PMDB / PSD / PPS / PSB / PHS / PT do B / PSL / PSDC";"Eleito";"3.859.611";"61,21"
"";"";"";"";"";"";"";"19.621.045";""
"";"";"";"";"";"";"";"3.859.611";""
"";"";"";"";"";"";"";"3.859.611";""
"";"";"";"";"";"";"";"74.104.090";""
